item	itemLabel	pub	id	mndate	mxdate
http://www.wikidata.org/entity/Q51482738	Q51482738	1781-01-01T00:00:00Z	Q6129354	1781	1781
http://www.wikidata.org/entity/Q13415266	Entomological News		Q3488260		
http://www.wikidata.org/entity/Q60049132	A taxonomic revision and molecular phylogeny of the eastern Palearctic species of the genera Schizomyia Kieffer and Asteralobia Kovalev (Diptera, Cecidomyiidae, Asphondyliini), with descriptions of five new species of Schizomyia from Japan	2018-12-18T00:00:00Z	Q21337837	2018	2018
http://www.wikidata.org/entity/Q21128242	A study on the Neotropical Anthaxiini (Coleoptera, Buprestidae, Buprestinae)	2013-05-22T00:00:00Z	Q21339018	2011	2013
http://www.wikidata.org/entity/Q21127998	Afrotropical cynipoidea (hymenoptera)	2015-04-01T00:00:00Z	Q21339226	2004	2018
http://www.wikidata.org/entity/Q21090281	Family-group names in Coleoptera (Insecta)	2011-04-04T00:00:00Z	Q21339595	1999	2019
http://www.wikidata.org/entity/Q28528221	Relationships of the genus Heterocheila (Diptera: Sciomyzoidea) with description of a new family	1991-01-01T00:00:00Z	Q21502932	1985	2013
http://www.wikidata.org/entity/Q28938305	Taxonomy and biology of Simulium clarkei Stone & Snoddy(Diptera: Simuliidae), a poorly known black fly of the southeastern United States	2002-05-03T00:00:00Z	Q22109650	2002	2004
http://www.wikidata.org/entity/Q21186054	Australian Allograpta Osten Sacken (Diptera, Syrphidae)	2015-07-15T00:00:00Z	Q22111516		
http://www.wikidata.org/entity/Q61874677	The genus Paracoryza Basilewsky, 1952 from equatorial Africa (Coleoptera, Carabidae, Scaritinae)	2000-01-01T00:00:00Z	Q28942284	2000	2000
http://www.wikidata.org/entity/Q51036280	Besuchetionella new genus, with description of eighteen new species from Asia (Coleoptera: Leiodidae: Agathidiini)	2000-01-01T00:00:00Z	Q33120556	1996	2000
http://www.wikidata.org/entity/Q21191555	Maeropsis paphavasitae and Rotomelita longipropoda, two new species (Crustacea, Amphipoda) from Lower Gulf of Thailand	2013-06-05T00:00:00Z	Q36200158	1991	2019
http://www.wikidata.org/entity/Q22122209	The genome of the model beetle and pest Tribolium castaneum	2008-03-23T00:00:00Z	Q37644534	1999	2017
http://www.wikidata.org/entity/Q30053509	South American native bumblebees (Hymenoptera: Apidae) infected byNosema ceranae(Microsporidia), an emerging pathogen of honeybees (Apis mellifera)	2009-04-01T00:00:00Z	Q44210549	2002	2017
http://www.wikidata.org/entity/Q51431030	Power-series expansion of the Boltzmann equation and reciprocal relations for nonlinear irreversible phenomena.	2011-12-20T00:00:00Z	Q51431219	2002	2011
http://www.wikidata.org/entity/Q30434971	Ocean processes at the Antarctic continental slope.	2014-07-01T00:00:00Z	Q56976876	2010	2015
